Symbol,Company,Market
KONKA.E,KONYA KAGIT,Z
KONTR.E,KONTROLMATIK TEKNOLOJI,Z
KONYA.E,KONYA CIMENTO,Z
KORDS.E,KORDSA TEKNIK TEKSTIL,Z
KOZAA.E,KOZA MADENCILIK,Z
KOZAL.E,KOZA ALTIN,Z
KRDMA.E,KARDEMIR (A),Z
KRDMB.E,KARDEMIR (B),Z
KRDMD.E,KARDEMIR (D),Z
KRPLS.E,KOROPLAST TEMIZLIK AMBALAJ,Z
KRVGD.E,KERVAN GIDA,Z
KZBGY.E,KIZILBUK GYO,Z
LIDER.E,LDR TURIZM,Z
LOGO.E,LOGO YAZILIM,Z
MAGEN.E,MARGUN ENERJI,Z
MAVI.E,MAVI GIYIM,Z
MEDTR.E,MEDITERA TIBBI MALZEME,Z
MGROS.E,MIGROS TICARET,Z
MIATK.E,MIA TEKNOLOJI,Z
MOBTL.E,MOBILTEL ILETISIM,Z
MPARK.E,MLP SAGLIK,Z
NATEN.E,NATUREL ENERJI,Z
NETAS.E,NETAS TELEKOM.,Z
NTHOL.E,NET HOLDING,Z
NUGYO.E,NUROL GMYO,Z
NUHCM.E,NUH CIMENTO,Z
ODAS.E,ODAS ELEKTRIK,Z
OTKAR.E,OTOKAR,Z
OYAKC.E,OYAK CIMENTO,Z
OYYAT.E,OYAK YATIRIM MENKUL,Z
OZKGY.E,OZAK GMYO,Z
PARSN.E,PARSAN,Z
PENTA.E,PENTA TEKNOLOJI URUNLERI DAGITIM,Z
PETKM.E,PETKIM,Z
PGSUS.E,PEGASUS,Z
PKENT.E,PETROKENT TURIZM,Z
POLHO.E,POLISAN HOLDING,Z
PRKAB.E,TURK PRYSMIAN KABLO,Z
PSGYO.E,PASIFIK GMYO,Z
QUAGR.E,QUA GRANITE HAYAL YAPI,Z
RUBNS.E,RUBENIS TEKSTIL,Z
RYGYO.E,REYSAS GMYO,Z
SAHOL.E,SABANCI HOLDING,Z
SARKY.E,SARKUYSAN,Z
SASA.E,SASA POLYESTER,Z
SELEC.E,SELCUK ECZA DEPOSU,Z
SISE.E,SISE CAM,Z
SKBNK.E,SEKERBANK,Z
SMRTG.E,SMART GUNES ENERJISI TEK.,Z
SNGYO.E,SINPAS GMYO,Z
SOKM.E,SOK MARKETLER TICARET,Z
SUNTK.E,SUN TEKSTIL,Z
SUWEN.E,SUWEN TEKSTIL,Z
TATGD.E,TAT GIDA,Z
TAVHL.E,TAV HAVALIMANLARI,Z
TCELL.E,TURKCELL,Z
TEZOL.E,EUROPAP TEZOL KAGIT,Z
THYAO.E,TURK HAVA YOLLARI,Z
TIRE.E,MONDI TURKEY,Z
TKFEN.E,TEKFEN HOLDING,Z
TKNSA.E,TEKNOSA IC VE DIS TICARET,Z
TMSN.E,TUMOSAN MOTOR VE TRAKTOR,Z
TOASO.E,TOFAS OTO. FAB.,Z
TRCAS.E,TURCAS PETROL,Z
TRGYO.E,TORUNLAR GMYO,Z
TRILC.E,TURK ILAC SERUM,Z
TSGYO.E,TSKB GMYO,Z
TSKB.E,T.S.K.B.,Z
TSPOR.E,TRABZONSPOR SPORTIF,Z
TTKOM.E,TURK TELEKOM,Z
TTRAK.E,TURK TRAKTOR,Z
TUKAS.E,TUKAS,Z
TUPRS.E,TUPRAS,Z
TUREX.E,TUREKS TURIZM TASIMACILIK,Z
TURSG.E,TURKIYE SIGORTA,Z
ULKER.E,ULKER BISKUVI,Z
VAKBN.E,VAKIFLAR BANKASI,Z
VAKKO.E,VAKKO TEKSTIL,Z
VERUS.E,VERUSA HOLDING,Z
VESBE.E,VESTEL BEYAZ ESYA,Z
VESTL.E,VESTEL,Z
YATAS.E,YATAS,Z
YGGYO.E,YENI GIMAT GMYO,Z
YKBNK.E,YAPI VE KREDI BANK.,Z
YYLGD.E,YAYLA GIDA,Z
ZRGYO.E,ZIRAAT GMYO,Z
